,Mu(eV),Temp(K),Seebeck_xx,Seebeck_xy,Seebeck_xz,Seebeck_yx,Seebeck_yy,Seebeck_yz,Seebeck_zx,Seebeck_zy,Seebeck_zz,Material,Parameter,Label
100,1.0,350.0,0.0009018437213,3.723067389e-09,5.802477412e-09,3.723060409e-09,0.0009018468034,2.658229262e-09,5.802456505e-09,2.658107589e-09,0.000901844844,CsPbBr3,seebeck,350K
101,1.05,350.0,0.001044690217,3.722640557e-09,5.802292564e-09,3.722633568e-09,0.001044693299,2.658080439e-09,5.802271663e-09,2.65795877e-09,0.001044691339,CsPbBr3,seebeck,350K
102,1.1,350.0,0.001187545327,3.722559144e-09,5.802257252e-09,3.722552153e-09,0.001187548409,2.658052018e-09,5.802236352e-09,2.65793035e-09,0.001187546449,CsPbBr3,seebeck,350K
103,1.15,350.0,0.001330402062,3.722543134e-09,5.802249956e-09,3.722536142e-09,0.001330405144,2.658046749e-09,5.802229057e-09,2.657925081e-09,0.001330403185,CsPbBr3,seebeck,350K
104,1.2,350.0,0.001473259027,3.722537366e-09,5.80224539e-09,3.722530374e-09,0.001473262109,2.65804687e-09,5.802224491e-09,2.657925202e-09,0.001473260149,CsPbBr3,seebeck,350K
105,1.25,350.0,0.001616115638,3.722519502e-09,5.80223244e-09,3.722512509e-09,0.00161611872,2.658055587e-09,5.80221154e-09,2.657933919e-09,0.00161611676,CsPbBr3,seebeck,350K
106,1.3,350.0,0.00175897063,3.722444427e-09,5.802158973e-09,3.72243743e-09,0.001758973712,2.658081281e-09,5.802138071e-09,2.657959612e-09,0.001758971753,CsPbBr3,seebeck,350K
107,1.35,350.0,0.001901818859,3.722368166e-09,5.801965736e-09,3.722361177e-09,0.001901821941,2.658078568e-09,5.801944836e-09,2.657956902e-09,0.001901819982,CsPbBr3,seebeck,350K
108,1.4,350.0,0.002044642688,3.721752729e-09,5.801374906e-09,3.721745761e-09,0.002044645768,2.658179977e-09,5.801354013e-09,2.658058306e-09,0.00204464381,CsPbBr3,seebeck,350K
109,1.45,350.0,0.002187387434,3.720359946e-09,5.793496873e-09,3.720352984e-09,0.002187390514,2.656053261e-09,5.793475953e-09,2.655931831e-09,0.002187388555,CsPbBr3,seebeck,350K
110,1.5,350.0,0.002329910961,3.690423925e-09,5.761794744e-09,3.690417218e-09,0.002329914025,2.621266606e-09,5.761774525e-09,2.621146139e-09,0.002329912075,CsPbBr3,seebeck,350K
111,1.55,350.0,0.002471631684,3.704803835e-09,5.780307948e-09,3.704803166e-09,0.002471634657,2.547999938e-09,5.780291252e-09,2.547881771e-09,0.00247163277,CsPbBr3,seebeck,350K
112,1.6,350.0,0.002611909332,3.556552563e-09,5.726313406e-09,3.55654497e-09,0.002611912158,2.652855924e-09,5.726294395e-09,2.652730318e-09,0.002611910365,CsPbBr3,seebeck,350K
113,1.65,350.0,0.002747755692,-1.522994922e-10,2.212790593e-09,-1.523650878e-10,0.002747758135,-4.214729681e-10,2.212807226e-09,-4.215360065e-10,0.002747756555,CsPbBr3,seebeck,350K
114,1.7,350.0,0.002870602212,-7.650327224e-10,1.613861754e-09,-7.651251922e-10,0.002870603928,-6.178101295e-11,1.613866494e-09,-6.186569749e-11,0.002870602769,CsPbBr3,seebeck,350K
115,1.75,350.0,0.00297275659,-7.95577592e-10,8.167469057e-10,-7.956569208e-10,0.002972757411,1.622008579e-10,8.167448199e-10,1.621297374e-10,0.002972756812,CsPbBr3,seebeck,350K
116,1.8,350.0,0.003064268391,-3.810552613e-10,2.588256805e-10,-3.810918549e-10,0.003064268574,1.26240604e-10,2.588248847e-10,1.262068919e-10,0.003064268423,CsPbBr3,seebeck,350K
117,1.85,350.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,350K
118,1.9,350.0,-0.0031,-4.547473509e-13,-4.547473509e-13,1.421085472e-14,-0.0031,-1.136868377e-13,-0.0,-2.273736754e-13,-0.0031,CsPbBr3,seebeck,350K
119,1.95,350.0,-0.003051673863,2.531284522e-10,1.808680969e-09,2.527996093e-10,-0.003051678985,1.404744365e-09,1.808895198e-09,1.404837216e-09,-0.003051678895,CsPbBr3,seebeck,350K
120,2.0,350.0,-0.002973013609,-2.656673844e-09,3.52042222e-09,-2.656840887e-09,-0.002973020941,2.53442261e-09,3.520577796e-09,2.53442027e-09,-0.002973018325,CsPbBr3,seebeck,350K
121,-4.0,450.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,450K
122,-3.95,450.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,450K
123,-3.9,450.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,450K
124,-3.85,450.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,450K
125,-3.8,450.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,450K
126,-3.75,450.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,450K
127,-3.7,450.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,450K
128,-3.65,450.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,450K
129,-3.6,450.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,450K
130,-3.55,450.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,450K
131,-3.5,450.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,450K
132,-3.45,450.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,450K
133,-3.4,450.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,450K
134,-3.35,450.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,450K
135,-3.3,450.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,450K
136,-3.25,450.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,CsPbBr3,seebeck,450K
